,arcid,fracarea,glwdunit,outflowcell
0,341.0,0.07327882960717182,252.0,349
1,342.0,0.17319528330195078,252.0,349
2,343.0,0.18320859645120405,252.0,349
3,344.0,0.16781057297900662,252.0,349
4,345.0,0.12590773327923002,252.0,349
5,346.0,0.10183189312743524,252.0,349
6,347.0,0.1024138034973949,252.0,349
7,348.0,0.06821855370803606,252.0,349
8,349.0,0.004134734048570448,252.0,349
9,391.0,0.11544415603950929,1084.0,394
10,392.0,0.2569565132071063,1084.0,394
11,393.0,0.35596113531609064,1084.0,394
12,394.0,0.2716381954372938,1084.0,394
13,620.0,0.15805820391132502,968.0,621
14,621.0,0.3002405368308168,968.0,621
15,810.0,0.22772368380578778,968.0,621
16,811.0,0.3107312684385233,968.0,621
17,812.0,0.0032463070135471186,968.0,621
18,2283.0,0.23042675407759286,1015.0,2286
19,2284.0,0.16463870619827017,1015.0,2286
20,2285.0,0.307678143699318,1015.0,2286
21,2286.0,0.2816493001036607,1015.0,2286
22,2489.0,0.015607095921158227,1015.0,2286
23,2511.0,0.004684476469118731,597.0,2511
24,2512.0,0.0061877301230818796,597.0,2511
25,2748.0,0.015027913298879954,597.0,2511
26,2749.0,0.3385490576329632,597.0,2511
27,2750.0,0.2868504940946502,597.0,2511
28,2751.0,0.24421837731561322,597.0,2511
29,2752.0,0.10448195106569275,597.0,2511
30,3010.0,0.16926742011709586,118.0,3010
31,3011.0,0.2723601687411091,118.0,3010
32,3012.0,0.037058986307101915,118.0,3010
33,3219.0,0.03508483334218667,38.0,3446
34,3220.0,0.010004273112102717,38.0,3446
35,3251.0,0.1632634138886768,118.0,3010
36,3252.0,0.27465922782794483,118.0,3010
37,3253.0,0.08205885946003931,118.0,3010
38,3254.0,0.0013319236580321358,118.0,3010
39,3445.0,0.02738267127012726,38.0,3446
40,3446.0,0.10283856971926003,38.0,3446
41,3447.0,0.054117573805275626,38.0,3446
42,3448.0,0.0444385278975361,38.0,3446
43,3449.0,0.04685688337563097,38.0,3446
44,3450.0,0.04119354450241007,38.0,3446
45,3451.0,0.03145868077893896,38.0,3446
46,3452.0,0.05826297058953178,38.0,3446
47,3453.0,0.0871182255853029,38.0,3446
48,3454.0,0.07319339316557302,38.0,3446
49,3455.0,0.029914253553447213,38.0,3446
50,3456.0,0.0068162364980554465,38.0,3446
51,3458.0,0.08773611689093305,503.0,3458
52,3459.0,0.8423682230650743,503.0,3458
53,3460.0,0.06989566004399259,503.0,3458
54,3649.0,0.06617668889075429,2284.0,3651
55,3650.0,0.4889909623363755,2284.0,3651
56,3651.0,0.34854224439719206,2284.0,3651
57,3652.0,0.0719188401909397,38.0,3446
58,3653.0,0.09414464360381285,38.0,3446
59,3654.0,0.0896902918994834,38.0,3446
60,3655.0,0.023686988623651307,38.0,3446
61,3656.0,0.006516931683289829,38.0,3446
62,3663.0,0.001798128960914012,372.0,3663
63,3664.0,0.341334898562322,372.0,3663
64,3665.0,0.656866972476764,372.0,3663
65,3871.0,0.08024860956159392,2284.0,3651
66,3872.0,0.01604149481408428,2284.0,3651
67,3873.0,0.001004004806914288,38.0,3446
68,3874.0,0.05261584482721326,38.0,3446
69,3875.0,0.011741817169316595,38.0,3446
70,4131.0,0.07258458385931442,905.0,4415
71,4132.0,0.3644202178390638,905.0,4415
72,4148.0,0.04470810229918504,1187.0,4431
73,4149.0,0.4165313455803204,1187.0,4431
74,4240.0,0.426118204117725,1006.0,4240
75,4241.0,0.5738817958822751,1006.0,4240
76,4246.0,0.12758901746584375,393.0,4248
77,4247.0,0.8326541732157613,393.0,4248
78,4248.0,0.03975680931839498,393.0,4248
