arcid,arcid_wg_mask
620,1
621,2
623,3
624,4
1623,5
1624,6
1625,7
1626,8
1627,9
1628,10
1629,11
1630,12
1631,13
1632,14
1633,15
1677,16
2613,17
2614,18
2622,19
2623,20
2624,21
2625,22
2626,23
2627,24
2630,25
2631,26
2676,27
2677,28
3612,29
3613,30
3615,31
3616,32
3617,33
3618,34
3619,35
3620,36
3650,37
4609,38
4610,39
4611,40
4612,41
4613,42
4614,43
4615,44
4616,45
4617,46
4618,47
4619,48
4620,49
4647,50
4648,51
4650,52
4651,53
4652,54
4653,55
4654,56
4655,57
4656,58
4664,59
4665,60
4666,61
4667,62
4668,63
4688,64
4689,65
4690,66
4691,67
5594,68
5595,69
5596,70
5597,71
5598,72
5599,73
5605,74
5606,75
5607,76
5610,77
5611,78
5612,79
5613,80
5614,81
5615,82
5616,83
5617,84
5618,85
5619,86
5620,87
5621,88
5622,89
5623,90
5632,91
5633,92
5634,93
5645,94
5646,95
5647,96
5648,97
5649,98
5650,99
5651,100
5652,101
5653,102
5654,103
5655,104
5656,105
5666,106
5667,107
5668,108
5669,109
5670,110
5671,111
5673,112
5674,113
5675,114
6593,115
6594,116
6595,117
6596,118
6597,119
6598,120
6599,121
6600,122
6601,123
6602,124
6605,125
6606,126
6607,127
6608,128
6609,129
6610,130
6613,131
6614,132
6615,133
6616,134
6617,135
6618,136
6619,137
6620,138
6621,139
6622,140
6623,141
6624,142
6625,143
6626,144
6631,145
6634,146
6635,147
6637,148
6638,149
6639,150
6645,151
6646,152
6647,153
6648,154
6649,155
6650,156
6651,157
6652,158
6653,159
6654,160
6655,161
6656,162
6661,163
6662,164
6663,165
6664,166
6665,167
6666,168
6667,169
6668,170
6669,171
6670,172
6671,173
6672,174
6673,175
6674,176
6675,177
6678,178
6679,179
6680,180
6681,181
6761,182
6762,183
6763,184
6764,185
6765,186
6766,187
6767,188
6768,189
6769,190
6770,191
6771,192
6772,193
6773,194
6774,195
6775,196
6776,197
7592,198
7593,199
7594,200
7595,201
7596,202
7597,203
7598,204
7599,205
7600,206
7601,207
7602,208
7603,209
7604,210
7606,211
7607,212
7608,213
7609,214
7610,215
7611,216
7612,217
7613,218
7614,219
7615,220
7616,221
7617,222
7618,223
7619,224
7620,225
7621,226
7622,227
7623,228
7624,229
7625,230
7626,231
7627,232
7628,233
7629,234
7630,235
7631,236
7632,237
7633,238
7634,239
7635,240
7636,241
7637,242
7638,243
7639,244
7645,245
7646,246
7647,247
7648,248
7649,249
7650,250
7651,251
7652,252
7653,253
7654,254
7655,255
7656,256
7657,257
7658,258
7661,259
7662,260
7663,261
7664,262
7665,263
7666,264
7667,265
7668,266
7669,267
7670,268
7671,269
7672,270
7673,271
7674,272
7675,273
7676,274
7677,275
7678,276
7679,277
7680,278
7681,279
7682,280
7683,281
7684,282
7685,283
7686,284
7687,285
7689,286
7690,287
7691,288
7692,289
7693,290
7694,291
7695,292
7709,293
7710,294
7711,295
7712,296
7755,297
7756,298
7757,299
7758,300
7759,301
7760,302
7761,303
7762,304
7763,305
7764,306
7765,307
7766,308
7767,309
7768,310
7769,311
7770,312
7771,313
7772,314
7773,315
7774,316
7775,317
7776,318
7777,319
7778,320
8589,321
8590,322
8591,323
8592,324
8593,325
8594,326
8595,327
8596,328
8597,329
8598,330
8599,331
8600,332
8601,333
8602,334
8603,335
8604,336
8605,337
8606,338
8607,339
8608,340
8609,341
8610,342
8611,343
8612,344
8613,345
8614,346
8615,347
8616,348
8617,349
8618,350
8619,351
8620,352
8621,353
8622,354
8623,355
8624,356
8625,357
8626,358
8627,359
8628,360
8629,361
8630,362
8631,363
8632,364
8633,365
8634,366
8635,367
8636,368
8637,369
8638,370
8639,371
8640,372
8641,373
8645,374
8646,375
8647,376
8648,377
8649,378
8650,379
8651,380
8652,381
8653,382
8654,383
8655,384
8656,385
8657,386
8658,387
8659,388
8660,389
8661,390
8662,391
8663,392
8664,393
8665,394
8666,395
8667,396
8668,397
8669,398
8670,399
8671,400
8672,401
8673,402
8674,403
8675,404
8676,405
8677,406
8678,407
8679,408
8680,409
8681,410
8682,411
8683,412
8684,413
8685,414
8686,415
8687,416
8688,417
8689,418
8690,419
8691,420
8692,421
8693,422
8694,423
8695,424
8696,425
8697,426
8698,427
8699,428
8700,429
8709,430
8710,431
8711,432
8712,433
8754,434
8755,435
8756,436
8757,437
8758,438
8759,439
8760,440
8761,441
8762,442
8763,443
8764,444
8765,445
8766,446
8767,447
8768,448
8769,449
8770,450
8771,451
8772,452
8773,453
8774,454
8775,455
8776,456
8777,457
8816,458
8817,459
8818,460
9550,461
9551,462
9568,463
9569,464
9570,465
9571,466
9572,467
9573,468
9574,469
9575,470
9594,471
9595,472
9596,473
9597,474
9598,475
9599,476
9600,477
9601,478
9602,479
9603,480
9604,481
9605,482
9606,483
9607,484
9608,485
9609,486
9610,487
9611,488
9612,489
9613,490
9614,491
9615,492
9616,493
9617,494
9618,495
9619,496
9620,497
9621,498
9622,499
9623,500
9624,501
9625,502
9626,503
9627,504
9628,505
9629,506
9630,507
9631,508
9632,509
9633,510
9634,511
9635,512
9636,513
9637,514
9638,515
9639,516
9640,517
9641,518
9642,519
9643,520
9644,521
9645,522
9646,523
9647,524
9648,525
9649,526
9650,527
9651,528
9652,529
9653,530
9654,531
9655,532
9656,533
9657,534
9658,535
9659,536
9660,537
9661,538
9662,539
9663,540
9664,541
9665,542
9666,543
9667,544
9668,545
9669,546
9670,547
9671,548
9672,549
9673,550
9674,551
9675,552
9676,553
9677,554
9678,555
9679,556
9680,557
9681,558
9682,559
9683,560
9684,561
9685,562
9686,563
9687,564
9688,565
9689,566
9690,567
9691,568
9692,569
9693,570
9694,571
9695,572
9696,573
9697,574
9698,575
9699,576
9700,577
9701,578
9702,579
9703,580
9711,581
9712,582
9755,583
9756,584
9757,585
9758,586
9759,587
9760,588
9761,589
9762,590
10568,591
10569,592
10570,593
10571,594
10572,595
10573,596
10574,597
10575,598
10576,599
10577,600
10579,601
10580,602
10581,603
10582,604
10583,605
10584,606
10585,607
10593,608
10594,609
10595,610
10596,611
10597,612
10598,613
10599,614
10600,615
10601,616
10602,617
10603,618
10604,619
10605,620
10606,621
10607,622
10608,623
10609,624
10610,625
10611,626
10612,627
10613,628
10614,629
10615,630
10616,631
10617,632
10618,633
10619,634
10620,635
10621,636
10622,637
10623,638
10624,639
10625,640
10626,641
10627,642
10628,643
10629,644
10630,645
10631,646
10632,647
10633,648
10634,649
10635,650
10636,651
10637,652
10638,653
10639,654
10640,655
10641,656
10642,657
10643,658
10644,659
10645,660
10646,661
10647,662
10648,663
10649,664
10650,665
10651,666
10652,667
10653,668
10654,669
10655,670
10656,671
10657,672
10658,673
10659,674
10660,675
10661,676
10662,677
10663,678
10664,679
10665,680
10666,681
10667,682
10668,683
10669,684
10670,685
10671,686
10672,687
10673,688
10674,689
10675,690
10676,691
10677,692
10678,693
10679,694
10680,695
10681,696
10682,697
10683,698
10684,699
10685,700
10686,701
10687,702
10688,703
10689,704
10690,705
10691,706
10692,707
10693,708
10694,709
10695,710
10696,711
10697,712
10698,713
10699,714
10700,715
10701,716
10702,717
11512,718
11513,719
11514,720
11515,721
11516,722
11518,723
11519,724
11523,725
11524,726
11525,727
11526,728
11536,729
11537,730
11538,731
11539,732
11540,733
11541,734
11542,735
11543,736
11564,737
11565,738
11566,739
11567,740
11568,741
11569,742
11570,743
11571,744
11572,745
11573,746
11574,747
11575,748
11576,749
11577,750
11578,751
11579,752
11580,753
11581,754
11582,755
11583,756
11584,757
11585,758
11586,759
11587,760
11588,761
11589,762
11594,763
11595,764
11596,765
11597,766
11598,767
11599,768
11600,769
11601,770
11602,771
11603,772
11604,773
11605,774
11606,775
11607,776
11608,777
11609,778
11610,779
11611,780
11612,781
11613,782
11614,783
11615,784
11616,785
11617,786
11618,787
11619,788
11620,789
11621,790
11622,791
11623,792
11624,793
11625,794
11626,795
11627,796
11628,797
11629,798
11630,799
11631,800
11632,801
11633,802
11634,803
11635,804
11636,805
11637,806
11638,807
11639,808
11640,809
11641,810
11642,811
11643,812
11644,813
11645,814
11646,815
11647,816
11648,817
11649,818
11650,819
11651,820
11652,821
11653,822
11654,823
11655,824
11656,825
11657,826
11658,827
11659,828
11660,829
11661,830
11662,831
11663,832
11664,833
11665,834
11666,835
11667,836
11668,837
11669,838
11670,839
11671,840
11672,841
11673,842
11674,843
11675,844
11676,845
11677,846
11678,847
11679,848
11680,849
11681,850
11682,851
11683,852
11684,853
11685,854
11686,855
11687,856
11688,857
11689,858
11690,859
11691,860
11692,861
11693,862
11694,863
11695,864
11696,865
11697,866
11698,867
11699,868
11700,869
11701,870
11702,871
12505,872
12506,873
12507,874
12508,875
12511,876
12512,877
12513,878
12514,879
12515,880
12516,881
12517,882
12518,883
12519,884
12520,885
12522,886
12523,887
12524,888
12525,889
12526,890
12527,891
12528,892
12529,893
12530,894
12531,895
12532,896
12533,897
12534,898
12535,899
12536,900
12537,901
12538,902
12539,903
12540,904
12541,905
12542,906
12543,907
12544,908
12549,909
12550,910
12551,911
12552,912
12553,913
12554,914
12555,915
12564,916
12565,917
12566,918
12567,919
12568,920
12569,921
12570,922
12571,923
12572,924
12573,925
12574,926
12575,927
12576,928
12577,929
12578,930
12579,931
12580,932
12581,933
12582,934
12583,935
12584,936
12585,937
12586,938
12587,939
12588,940
12589,941
12590,942
12591,943
12592,944
12596,945
12597,946
12598,947
12599,948
12600,949
12601,950
12602,951
12603,952
12604,953
12605,954
12606,955
12607,956
12608,957
12609,958
12610,959
12611,960
12612,961
12613,962
12614,963
12615,964
12616,965
12617,966
12618,967
12619,968
12620,969
12621,970
12622,971
12623,972
12624,973
12625,974
12626,975
12627,976
12628,977
12629,978
12630,979
12631,980
12632,981
12633,982
12634,983
12635,984
12636,985
12637,986
12638,987
12639,988
12640,989
12641,990
12642,991
12643,992
12644,993
12645,994
12646,995
12647,996
12648,997
12649,998
12650,999
12651,1000
12652,1001
12653,1002
12654,1003
12655,1004
12656,1005
12657,1006
12658,1007
12659,1008
12660,1009
12661,1010
12662,1011
12663,1012
12664,1013
12665,1014
12666,1015
12667,1016
12668,1017
12669,1018
12670,1019
12671,1020
12672,1021
12673,1022
12674,1023
12675,1024
12676,1025
12677,1026
12678,1027
12679,1028
12680,1029
12681,1030
12682,1031
12683,1032
12684,1033
12685,1034
12686,1035
12687,1036
12688,1037
12689,1038
12690,1039
12691,1040
12692,1041
12693,1042
12694,1043
12695,1044
12696,1045
12697,1046
13505,1047
13506,1048
13507,1049
13508,1050
13509,1051
13510,1052
13511,1053
13512,1054
13513,1055
13514,1056
13515,1057
13516,1058
13517,1059
13518,1060
13519,1061
13520,1062
13521,1063
13522,1064
13523,1065
13524,1066
13525,1067
13526,1068
13527,1069
13528,1070
13529,1071
13530,1072
13531,1073
13532,1074
13533,1075
13534,1076
13535,1077
13536,1078
13537,1079
13538,1080
13539,1081
13540,1082
13541,1083
13542,1084
13543,1085
13547,1086
13548,1087
13549,1088
13550,1089
13551,1090
13552,1091
13553,1092
13554,1093
13555,1094
13556,1095
13557,1096
13564,1097
13565,1098
13566,1099
13567,1100
13568,1101
13569,1102
13570,1103
13571,1104
13572,1105
13573,1106
13574,1107
13575,1108
13576,1109
13577,1110
13578,1111
13579,1112
13580,1113
13581,1114
13582,1115
13583,1116
13584,1117
13585,1118
13586,1119
13587,1120
13588,1121
13589,1122
13590,1123
13591,1124
13592,1125
13593,1126
13601,1127
13602,1128
13603,1129
13604,1130
13605,1131
13606,1132
13607,1133
13608,1134
13609,1135
13610,1136
13611,1137
13612,1138
13613,1139
13614,1140
13622,1141
13623,1142
13624,1143
13625,1144
13626,1145
13627,1146
13628,1147
13629,1148
13630,1149
13631,1150
13632,1151
13633,1152
13634,1153
13635,1154
13636,1155
13637,1156
13638,1157
13639,1158
13640,1159
13641,1160
13642,1161
13643,1162
13644,1163
13645,1164
13646,1165
13647,1166
13648,1167
13649,1168
13650,1169
13651,1170
13652,1171
13653,1172
13654,1173
13655,1174
13656,1175
13657,1176
13658,1177
13659,1178
13660,1179
13661,1180
13662,1181
13663,1182
13664,1183
13665,1184
13666,1185
13667,1186
13668,1187
13669,1188
13670,1189
13671,1190
13672,1191
13673,1192
13674,1193
13675,1194
13676,1195
