FID;Shape *;grdc_no;to_ArcIDSL;to_ArcIDWL;lat_ddm;lon_ddm;wmo_reg;sub_reg;mix_reg;nat_id;river;station;country_co;lat;long;area;altitude;ds_stat_no;w_level;d_start;d_end;d_yrs;d_miss;m_start;m_end;m_yrs;m_miss;t_start;t_end;t_yrs;lta_discha;r_volume_y;r_height_y;proc_tyrs;proc_tmon;f_import;f_im_yr;l_import;l_im_yr;provider_i;acsys;flux2ocean;gems;gcos_gtn_h;statistics;upd_code;grdc_conv;accu_cell;rank;image_nr;cont_ID;No_of_year;start_year;end_year;dis_conv;missing_yr;p_disch_di
0;Point;1112100;48212;48558;14,75;-11,25;1;12;112;0;SENEGAL;KAYES;ML;14,45;-11,28;157400;20;1812500;0;1981;1990;10;70,02;1951;1990;40;0;1951;1990;40;475,385;14,992;95;97,5;100;29.01.1992;1992;26.06.1992;1992;-999;0;0;0;0;1;0;0;52;1009;47999;1;30;1961;1990;404,464;0;-14,918645
1;Point;1112300;48601;48946;13,75;-11,25;1;12;112;0;SENEGAL;GALOUGO;ML;13,83;-11,13;127000;69;1112100;0;1981;1990;10;70,02;1905;1990;86;35,02;1905;1990;86;503,302;15,872;125;58,1;100;29.01.1992;1992;26.06.1992;1992;-999;0;0;0;0;1;0;0;40;944;48388;1;30;1961;1990;395,828;0;-21,35378
2;Point;1112330;48604;48949;13,75;-9,75;1;12;112;0;BAOULE (TRIB. ATUI, SENEGAL);SIRAMAKANA;ML;13,34;-9,53;58000;-999;1112320;0;1981;1990;10;73,36;1972;1990;19;60,96;1972;1990;19;14,309;0,451;8;21,1;100;29.01.1992;1992;28.02.1992;1992;-999;0;0;0;0;1;0;0;18;686;48391;1;4;1972;1990;14,2083;15;-0,703753
3;Point;1112340;48793;49140;13,25;-9,75;1;12;112;0;BAKOYE;TOUKOTO;ML;13,45;-9,88;16000;-999;1112320;0;1987;1990;4;50,03;1952;1990;39;41,59;1952;1990;39;69,465;2,191;137;46,2;98,6;28.02.1992;1992;24.06.1992;1992;-999;0;0;0;0;1;0;0;4;85;48579;1;13;1964;1990;69,8333;14;0,530195
4;Point;1112350;48792;49139;13,25;-10,25;1;12;112;0;BAFING (TRIB. ATUI, SENEGAL);DIBIA;ML;13,14;-10,48;33000;-999;1112300;0;1981;1990;10;81,68;1951;1990;40;20,38;1951;1990;40;320,948;10,121;307;62,5;97,3;29.01.1992;1992;28.02.1992;1992;-999;0;0;0;0;1;0;0;9;373;48578;1;15;1962;1990;288,272;14;-10,181089
5;Point;1134050;49348;49689;11,75;-8,25;1;34;134;27152010;SANKARANI;SELINGUE;ML;11,58;-8,17;34200;-999;1134040;0;1964;1992;29;36,9;1964;1990;27;3,77;1964;1992;29;281,415;8,875;259;89,7;100;29.01.1992;1992;10.11.1995;1995;-999;0;0;0;0;1;0;0;10;433;49132;1;25;1965;1990;282,333;1;0,326209
6;Point;1134100;48980;49327;12,75;-7,75;1;34;134;27150142;NIGER;KOULIKORO;ML;12,8667;-7,55;120000;290;1134100;0;1907;2006;100;0,83;1907;1990;84;0;1907;2006;100;1376,268;43,402;362;95;100;29.01.1992;1992;03.04.2006;2006;16;0;0;1;0;1;0;2;39;934;48764;1;30;1971;2000;1034,56;0;-24,828594
7;Point;1134200;49170;49511;12,25;-7,25;1;34;134;27162010;BAOULE (TRIB. NIGER);DIOILA;ML;12,52;-6,8;32500;-999;1134300;0;1953;1992;40;31,5;1953;1990;38;8,2;1953;1992;40;133,773;4,219;130;82,5;97,7;29.01.1992;1992;10.11.1995;1995;-999;0;0;0;0;1;0;0;10;455;48954;1;20;1971;1990;71,55;0;-46,513871
8;Point;1134220;49535;49874;11,25;-6,75;1;34;134;27161205;BAGOE;PANKOUROU;ML;11,42;-6,57;31800;-999;1134300;0;1956;1992;37;31,63;1956;1992;37;3,19;1956;1992;37;168,347;5,309;167;94,6;99,5;29.01.1992;1992;10.11.1995;1995;-999;0;0;0;0;1;0;0;9;393;49319;1;27;1963;1992;139,985;3;-16,847345
9;Point;1134300;48983;49330;12,75;-6,25;1;34;134;27160108;BANI;DOUNA;ML;13,2167;-5,9;101600;270;1134450;0;1922;2001;80;24,85;1922;1994;73;24,43;1922;2001;80;454,638;14,337;141;70;99,1;29.01.1992;1992;19.08.2003;2003;16;0;0;0;0;1;0;1;32;876;48767;1;29;1969;1998;239,782;1;-47,258698
10;Point;1134310;49353;49694;11,75;-5,75;1;34;134;27161506;BANIFING;KOUORO 2;ML;12,02;-6,68;14300;-999;1134300;0;1975;1990;16;61,87;1975;1990;16;61,83;1975;1990;16;15,555;0,491;34;31,3;98,3;29.01.1992;1992;27.03.1996;1996;-999;0;0;0;0;1;0;0;4;62;49137;1;4;1977;1990;12,9583;10;-16,693668
11;Point;1134480;48614;48959;13,75;-4,75;1;34;134;27160111;BANI;SOFARA;ML;14,02;-4,25;129000;-999;1134505;0;1952;1992;41;26,27;1952;1994;43;24,31;1952;1994;43;355,566;11,213;87;65,1;97,6;29.01.1992;1992;14.07.1998;1998;-999;0;0;0;0;1;0;0;43;962;48401;1;16;1965;1994;277,485;14;-21,959636
12;Point;1134500;48421;48770;14,25;-4,25;1;34;134;27150145;NIGER;NANTAKA (MOPTI);ML;14,53;-4,22;281600;260;1134630;0;1922;2001;80;28,61;1922;1990;69;34,39;1922;2001;80;1057,26;33,342;118;70;99;29.01.1992;1992;20.08.2003;2003;16;0;0;0;0;1;0;0;94;1115;48208;1;18;1961;1990;985,472;12;-6,790004
13;Point;1134700;47605;47947;16,25;-3,75;1;34;134;27150118;NIGER;DIRE;ML;16,2667;-3,3833;340000;256;1134730;0;1924;2003;80;6,97;1924;1992;69;1,57;1924;2003;80;999,438;31,518;93;91,3;99,9;24.02.1992;1992;03.04.2006;2006;16;0;0;0;0;1;0;2;113;1153;47392;1;28;1967;1996;792,542;2;-20,701234
14;Point;1134850;47177;47512;17,25;-0,75;1;34;134;27150181;NIGER;TOSSAYE;ML;16,93;-0,58;348000;-999;1134900;0;1954;1992;39;33,26;1954;1992;39;32,61;1954;1992;39;1077,583;33,983;98;56,4;93,2;29.01.1992;1992;27.03.1996;1996;-999;0;0;0;0;1;0;0;133;1173;46964;1;9;1975;1992;719,25;9;-33,253401
15;Point;1134900;47826;48168;15,75;0,25;1;34;134;27150106;NIGER;ANSONGO;ML;15,6667;0,5;566000;242;1234090;0;1950;2001;52;24,01;1951;1992;42;15,87;1950;2001;52;902,387;28,458;50;67,3;97,4;29.01.1992;1992;19.08.2003;2003;16;0;0;0;0;1;0;0;188;1218;47613;1;17;1963;1992;693,485;13;-23,149935
16;Point;1147010;55374;55716;-4,25;15,25;1;47;147;0;CONGO;KINSHASA;CD;-4,3;15,3;3475000;-999;0;0;1903;2010;108;0,04;1903;1983;81;0;1903;2010;108;39849,457;1256,693;362;100;100;17.01.1992;1992;24.05.2011;2011;-999;0;1;1;0;1;3;0;1182;1322;55144;1;30;1971;2000;38617,6;0;-3,091277
17;Point;1147011;53778;54126;-0,25;25,25;1;47;147;0;CONGO;PONTHIERVILLE;CD;-0,35;25,45;948500;413,62;1147013;0;1932;1959;28;63,53;0;0;0;0;1932;1959;28;6705,955;211,479;223;32,1;100;02.12.2004;2004;10.12.2004;2004;0;0;0;0;0;1;0;1;308;1260;53559;1;9;1951;1959;6705,95;0;-0,000075
18;Point;1147012;54973;55316;-3,25;25,75;1;47;147;0;CONGO;KINDU;CD;-2,95;25,9167;810440;419,86;1147011;0;1933;1959;27;62,29;0;0;0;0;1933;1959;27;2261,803;71,328;88;33,3;100;02.12.2004;2004;10.12.2004;2004;0;0;0;0;0;1;0;1;260;1249;54743;1;9;1951;1959;2261,8;0;-0,000133
19;Point;1147200;54956;55299;-3,25;17,25;1;47;147;0;KASAI (TRIB. CONGO);KUTU-MOKE;CD;-3,1833;17,3833;737640;302,72;1147013;0;1932;1959;28;63,73;0;0;0;0;1932;1959;28;8346,188;263,205;357;32,1;100;02.12.2004;2004;10.12.2004;2004;0;0;0;0;0;1;0;1;245;1241;54726;1;7;1951;1959;8332,69;2;-0,161727
20;Point;1147201;55578;55920;-4,75;21,25;1;47;147;0;KASAI (TRIB. CONGO);PORT-FRANCQUI;CD;-4,3333;20,5833;232560;365,02;1147200;0;1932;1959;28;64;0;0;0;0;1932;1959;28;2106,543;66,432;286;28,6;100;02.12.2004;2004;10.12.2004;2004;0;0;0;0;0;1;0;1;82;1096;55348;1;8;1951;1958;2106,54;0;-0,000142
21;Point;1159100;63986;64450;-28,75;17,75;1;59;159;D8H003;ORANGE;VIOOLSDRIF (27811003);ZA;-28,7578;17,7214;866486;-999;0;0;1935;2001;67;3,41;1935;2001;67;1,64;1935;2001;67;287,205;9,057;10;95,5;99,7;03.05.2002;2002;03.05.2002;2002;5;0;1;1;1;1;0;1;310;1263;63754;1;29;1972;2001;230,142;1;-19,868387
22;Point;1159130;64597;65063;-30,75;20,25;1;59;159;D5H016;SAK;HOL PADS LEEGTE (27814016);ZA;-30,4744;20,5192;40073;-999;1159100;0;1973;1992;20;2,05;0;0;0;0;1973;1992;20;1,726;0,054;1;90;99,1;20.09.2011;2011;20.09.2011;2011;61;0;0;0;0;0;1;0;13;540;64365;1;16;1974;1990;1,69789;1;-1,628621
23;Point;1159300;63833;64297;-28,25;21,25;1;59;159;D7H005;ORANGE;UPINGTON;ZA;-28,4578;21,2392;364560;-999;1159100;0;0;0;0;0;1942;2001;60;0,99;1942;2001;60;272,218;8,585;24;95;99,7;03.05.2002;2002;03.05.2002;2002;5;0;0;0;0;1;0;1;133;1172;63602;1;29;1971;2000;240,931;1;-11,493362
24;Point;1159302;64153;64618;-29,25;23,75;1;59;159;D3H008;ORANGE;MARKSDRIFT (27815208);ZA;-29,1619;23,6958;99316;-999;1159301;0;1962;1988;27;4,43;0;0;0;0;1962;1988;27;155,793;4,913;49;88,9;99,3;20.09.2011;2011;20.09.2011;2011;61;0;0;0;0;0;1;0;108;1142;63921;1;15;1963;1987;148,801;10;-4,488007
25;Point;1159303;64306;64772;-29,75;24,25;1;59;159;D3H005;ORANGE;VLUYTJESKRAAL (27815205);ZA;-29,8147;24,4375;92346;-999;1159302;0;1955;1989;35;43,36;0;0;0;0;1955;1989;35;53,445;1,685;18;45,7;97,9;20.09.2011;2011;20.09.2011;2011;61;0;0;0;0;0;1;0;34;894;64074;1;7;1968;1988;55,73;14;4,275423
26;Point;1159650;64610;65076;-30,75;26,75;1;59;159;D1H003;ORANGE;ALIWAL NOORD (27819103);ZA;-30,6781;26,7164;37070;-999;1159303;0;1915;1993;79;1,58;1915;2001;87;0;1915;2001;87;67,673;2,134;58;98,9;100;03.05.2002;2002;03.05.2002;2002;5;0;0;0;0;1;0;1;14;563;64378;1;30;1971;2000;149,614;0;121,083741
27;Point;1159800;63362;63823;-26,75;28,25;1;59;159;C2H003-A01;VAAL;ELANDSFONTEIN ENGELBRECHTSDRIFT;ZA;-26,82;28,0631;38564;-999;1159500;0;1915;1993;79;11,41;1915;1993;79;9,9;1915;1993;79;45,624;1,439;37;86,1;99,4;03.05.2002;2002;10.07.2002;2002;5;0;0;1;0;1;0;1;14;554;63131;1;30;1964;1993;36,5109;0;-19,974356
28;Point;1160460;65396;65872;-33,75;24,75;1;60;160;L7H006;GROOTRIVIER (ZA-EASTERN CAPE);GROOTRIVIERSPOORT (27691206);ZA;-33,7308;24,6178;29571;-999;0;0;1964;1992;29;1,23;0;0;0;0;1964;1992;29;2,559;0,081;3;93,1;99,7;20.09.2011;2011;20.09.2011;2011;61;0;0;0;0;0;1;0;12;507;65164;1;20;1965;1991;2,53709;7;-0,856194
29;Point;1160510;65286;65762;-33,25;26,25;1;60;160;Q9H012;GROOT-VIS;BRANDT LEGTE PIGGOT'S BRIDGE;ZA;-33,0981;26,4447;23067;-999;1160580;0;1935;2001;67;0,63;1935;2001;67;7,68;1935;2001;67;5,974;0,188;8;98,5;99,6;03.05.2002;2002;10.07.2002;2002;5;0;0;0;0;1;0;1;8;350;65054;1;30;1971;2000;9,94106;0;66,405424
30;Point;1160880;64012;64476;-28,75;30,75;1;60;160;V5H002;TUGELA;MANDINI (27661102);ZA;-29,1403;31,3925;28920;-999;0;0;1959;2001;43;8,03;1959;2001;43;16,83;1959;2001;43;63,866;2,014;70;90,7;99,6;03.05.2002;2002;20.09.2011;2011;61;0;1;1;0;1;3;0;10;461;63780;1;30;1971;2000;55,6477;0;-12,868036
31;Point;1196100;62516;62971;-24,25;30,75;1;96;196;B7H009;ELEFANTES / OLIFANTSRIVIER;FINALE (27521009);ZA;-24,3311;30,7414;42714;-999;1896510;0;1960;1991;32;13,02;0;0;0;0;1960;1991;32;23,397;0,738;17;78,1;98,7;20.09.2011;2011;20.09.2011;2011;61;0;0;0;0;0;1;0;16;627;62285;1;12;1961;1990;20,6948;18;-11,549344
32;Point;1196400;62154;62608;-23,25;27,75;1;96;196;A5H003;LIMPOPO;BOTSWANA OXENHAM RANCH;ZA;-22,9506;27,9733;98160;-999;1196550;0;1959;2001;43;26,32;1959;2001;43;52,18;1959;2001;43;21,742;0,686;7;67,4;100;03.05.2002;2002;11.07.2002;2002;5;0;0;0;0;1;0;1;33;884;61923;1;19;1971;2000;26,2792;11;20,868365
33;Point;1196550;61783;62233;-22,25;29,75;1;96;196;A7H004;LIMPOPO;BEITBRUG U/S;ZA;-22,2244;29,9869;201000;-999;1196551;0;1955;1992;38;25,82;1955;1987;33;35,9;1955;1992;38;61,774;1,948;10;68,4;99,4;03.05.2002;2002;11.07.2002;2002;5;0;0;0;0;1;0;1;71;1069;61552;1;25;1956;1980;63,9785;0;3,568653
34;Point;1197500;62871;63329;-25,25;31,75;1;97;197;X2H016;KROKODILRIVIER (TRIB. INCOMATI);TENBOSCH (27613216);ZA;-25,3636;31,9556;10379;-999;1897501;0;1960;1992;33;3,49;0;0;0;0;1960;1992;33;18,426;0,581;56;93,9;99,5;20.09.2011;2011;20.09.2011;2011;61;0;0;0;0;0;1;0;3;48;62640;1;16;1963;1992;15,0043;14;-18,569955
35;Point;1234080;48235;48581;14,75;0,25;1;34;134;32151803;GOROUOL;ALCONGUI;NE;14,75;0,6;44900;227;1234090;0;1961;1988;28;20,67;1957;1989;33;6,67;1957;1989;33;10,802;0,341;8;84,8;99,7;17.01.1992;1992;14.09.1994;1994;-999;0;0;0;0;1;0;0;14;582;48022;1;25;1959;1988;8,11;5;-24,921311
36;Point;1234130;48815;49162;13,25;1,25;1;34;134;32152403;SIRBA;GARBE-KOUROU;NE;13,7333;1,6167;38750;287;1234150;0;1956;2002;47;23,67;1956;1988;33;27,06;1956;2002;47;23,327;0,736;19;66;98,9;23.06.1992;1992;19.08.2003;2003;16;0;0;0;0;1;0;1;12;525;48601;1;24;1963;1990;22,7205;4;-2,599991
37;Point;1234150;48627;48972;13,75;1,75;1;34;134;32150127;NIGER;NIAMEY;NE;13,52;2,08;700000;176;1234250;0;1929;2006;78;13,33;1929;1991;63;20,72;1929;2006;78;884,468;27,893;40;83,3;99,2;17.01.1992;1992;03.04.2006;2006;16;0;0;1;0;1;0;2;233;1236;48414;1;30;1971;2000;698,971;0;-20,97272
38;Point;1234180;48816;49163;13,25;1,75;1;34;134;32151603;GOROUBI;DIONGORE AMONT;NE;12,96;2,32;15350;-999;1234250;0;1962;1988;27;22,87;1962;1988;27;22,98;1962;1988;27;5,688;0,179;12;63;97,1;17.01.1992;1992;27.03.1996;1996;-999;0;0;0;0;1;0;0;4;131;48602;1;12;1964;1987;6,90972;12;21,478903
39;Point;1234250;49371;49712;11,75;3,25;1;34;134;0;NIGER;GAYA;NE;11,88;3,4;1000000;-999;1734500;0;0;0;0;0;1952;1990;39;19,61;1952;1990;39;1104,584;34,834;35;66,7;99;18.02.1992;1992;18.02.1992;1992;-999;0;1;1;0;1;0;0;326;1270;49155;1;19;1957;1986;1087,51;11;-1,54574
40;Point;1237500;48837;49184;13,25;12,25;1;37;137;0;KOMADOUGOU YOBE;BAGARA DIFFA;NE;13,28;12,6;115000;298;0;0;1976;1980;5;0,07;1967;1991;25;0;1967;1991;25;14,557;0,459;4;92;100;17.01.1992;1992;18.02.1992;1992;-999;0;0;0;0;1;0;0;39;936;48623;1;23;1968;1990;14,5544;0;-0,017861
41;Point;1255100;59932;60335;-17,25;14,25;1;55;155;2811M01;CUNENE / KUNENE;RUACANA (64740001);NA;-17,4;14,2167;91815;800;1655100;0;1961;2007;47;9,39;0;0;0;0;1961;2007;47;175,513;5,535;60;85,1;100;07.08.2007;2007;07.08.2007;2007;52;0;0;0;0;1;1;0;29;845;59701;1;25;1976;2005;171,319;5;-2,389567
