grdc/arcid,row,col,arcid
2106500,9176,36359,29743
2106600,9617,36360,31304
2151100,13134,27959,41004
2178100,14530,34044,44609
2178300,10559,33826,33819
2178500,10679,34559,34175
2180400,11439,30676,-99
2180500,11826,32039,37482
2180700,11800,32759,37488
2180711,10680,31619,34494
2180750,11784,32999,37490
2180800,11775,33359,37493
2181300,13439,30446,41658
2181400,13200,31994,41352
2181500,12138,29208,-99
2181600,12839,32740,40059
2181800,12795,33479,40065
2181850,13691,33599,42600
2181900,12786,34199,40071
2181950,12240,34247,38766
2182100,12318,32159,38748
2186500,14690,32039,44875
2186800,14550,32759,44598
2186900,14473,33120,44322
2186950,14618,33360,44604
2217102,11400,22537,36422
2217200,11259,22673,-99
2218100,11640,21209,37065
2218200,11917,21274,-99
2218450,11380,22070,-99
2240100,11943,23049,-99
2240200,11887,22931,-99
2260100,13920,28967,-99
2260500,14879,29048,45137
2261500,15613,29147,-99
2335200,11999,23383,37727
2335950,14159,22383,43389
2337100,13122,23040,40964
2423500,12599,17712,39267
2423800,12492,18000,39270
2428200,12032,18119,37997
2428350,12360,18363,38955
2469050,15384,30512,-99
2469060,15239,30618,45964
2469072,15855,30626,-99
2469140,15807,30629,-99
2469260,16532,31390,-99
2548400,13319,25496,41298
2548500,13243,25560,41299
2549350,13439,26065,41622
2549500,13549,26160,41935
2550200,13559,26926,41941
2550450,13679,26820,42242
2569003,17399,31227,49817
2587100,9810,39969,-99
2588551,11542,39719,36866
2589500,11204,39313,-99
2595400,12359,16621,38619
2595600,11519,16400,36371
2595700,12239,16599,38297
2651100,14159,27511,43432
2677100,11154,36480,35520
2694510,11665,36839,37183
2706100,8764,32639,28494
2707100,8250,29999,26320
2707500,8314,30839,26764
2707600,8498,30839,27200
2707700,8413,31440,27206
2744200,8408,27599,27173
2836100,11973,23760,37731
2837100,12239,23955,38358
2839100,12555,24120,39321
2846800,14159,27113,43428
2851300,13884,27960,42847
2851500,13679,28259,42254
2853050,14639,23416,44521
2853150,14759,23541,44805
2853200,14888,23640,45376
2853300,15047,23520,45653
2853500,14640,25179,44818
2854020,14758,26759,44831
2854050,14490,26879,44269
2854100,15998,24239,47624
2854150,16247,24239,48060
2854180,16199,24529,47850
2854300,16181,25319,47856
2854400,16351,24719,48278
2854450,16446,24480,48484
2854500,16687,25199,48887
2854700,17168,24359,49620
2854800,17546,24959,50192
2855800,15239,26378,45938
2856200,15578,24359,46661
2856300,15596,24599,46663
2856320,15628,24719,46915
2856500,15650,25079,46918
2856530,15470,25079,46425
2856550,15359,25147,46176
2856600,15599,25267,46669
2856900,16079,25618,47636
2876500,10200,36537,33124
2893100,10799,36179,34526
2901200,4559,46475,11873
2901201,4450,47511,-99
2901300,5259,45960,15196
2902850,6654,44800,-99
2903050,6279,33398,-99
2903052,7364,32999,23215
2903054,6960,34036,21866
2903056,6720,33786,20996
2903070,5609,38520,16680
2903080,5760,38355,17645
2903081,5895,38520,18092
2903087,6279,37452,-99
2903120,6912,34080,21426
2903150,5220,38279,15132
2903151,5548,37679,16672
2903152,5847,36599,17630
2903215,6899,33479,21420
2903240,6616,33599,20577
2903300,6412,31920,19732
2903301,6934,31799,21406
2903330,6545,31319,20144
2903401,6481,36119,20184
2903402,6120,36518,18942
2903422,7200,31372,22743
2903424,6852,31319,21402
2903426,6292,31995,-99
2903427,5824,33161,-99
2903428,5647,34976,-99
2903429,5320,37129,-99
2903430,2794,36429,-99
2903470,5399,36334,15643
2903471,5279,35839,15112
2903475,5526,36720,16665
2903479,5680,35759,17154
2903480,5880,35128,18063
2903482,6840,34964,21433
2903490,5760,34580,17614
2903495,5519,34979,16145
2903497,5639,34667,16647
2903601,5331,38519,15661
2903602,5912,37919,18086
2903603,6073,36719,18522
2903605,6240,35689,19342
2903630,5816,34079,17609
2903647,5875,32879,17599
2903650,6360,33346,19743
2903654,6240,33073,19320
2903701,5162,34200,15099
2903702,4988,33359,14016
2903703,5031,32999,14013
2903704,4919,32267,13462
2903710,4746,34919,12926
2903721,4679,34003,12349
2903722,4319,33535,10582
2903728,4655,32999,12340
2903730,5039,33956,14021
2903740,5280,32350,15610
2906200,7612,34319,24146
2906201,7340,34793,-99
2906300,8212,37180,-99
2906500,7733,36960,24628
2906700,8534,38409,-99
2906800,9360,38051,30553
2906900,8040,38889,25968
2906901,7560,39686,24191
2907010,7319,32244,22750
2907020,7698,31920,24586
2907043,7942,32040,25476
2907060,7920,31602,25472
2907061,8056,32160,25912
2907080,8008,31439,25470
2907400,7674,31799,-99
2907403,8040,31472,25906
2908010,6388,29160,19709
2908011,6600,29618,20544
2908050,6240,28590,19283
2908099,6240,30645,19300
2908100,6205,28440,18875
2908101,6141,29520,18884
2908102,6600,30431,20551
2908105,7680,31112,24579
2908106,6758,32400,20985
2908180,7471,30719,23654
2908190,7080,30481,22286
2908200,7080,30129,22283
2908210,6720,30983,20973
2908303,6840,29861,21390
2908680,5963,29880,18020
2909150,3975,26760,9340
2909151,4560,27080,12291
2909152,5372,27600,15571
2909153,6180,28200,18873
2909154,6720,28286,20950
2909156,6917,28079,21375
2909158,7448,27959,23631
2909159,7680,28080,24554
2909161,7679,28678,24099
2909163,7560,29058,24103
2909164,7764,28800,24560
2909240,7681,28079,24553
2909260,7402,27959,23173
2909314,7239,28200,22717
2909321,7265,28680,22721
2909360,6625,28560,20536
2909391,6038,28320,18453
2909400,5196,28080,15048
2909401,5368,29040,15583
2909403,5889,30840,18028
2909520,4261,26160,10521
2909540,5143,26759,14493
2909560,5729,27359,17084
2909702,5411,31919,16119
2909704,4752,30000,12886
2909705,4410,27602,-99
2909720,4559,29681,11733
2910100,5668,23759,17054
2910110,4571,23759,12263
2910120,5399,22539,15528
2910130,5374,23039,15532
2910140,5653,23159,17049
2910150,5399,23309,15535
2910160,5399,23969,15540
2910170,5438,25079,16062
2910200,5792,25560,17539
2910230,6136,26160,18856
2910231,6037,27000,18442
2910240,6000,25195,18426
2910260,6240,25825,19260
2910300,6601,26383,-99
