,stationid,row,col,arcid,origin
0,2106500,9176,36359,29743,calstation
1,2106600,9617,36360,31304,calstation
2,2151100,13134,27959,41004,calstation
3,2178100,14530,34044,44609,calstation
4,2178300,10559,33826,33819,calstation
5,2178500,10679,34559,34175,calstation
6,2180400,11411,30599,36489,calstation
7,2180500,11826,32039,37482,calstation
8,2180700,11800,32759,37488,calstation
9,2180711,10680,31619,34494,calstation
10,2180750,11784,32999,37490,calstation
11,2180800,11775,33359,37493,calstation
12,2181300,13439,30446,41658,calstation
13,2181400,13200,31994,41352,calstation
14,2181500,12165,29279,38402,calstation
15,2181600,12839,32740,40059,calstation
16,2181800,12795,33479,40065,calstation
17,2181850,13691,33599,42600,calstation
18,2181900,12786,34199,40071,calstation
19,2181950,12240,34247,38766,calstation
20,2182100,12318,32159,38748,calstation
21,2186500,14690,32039,44875,calstation
22,2186800,14550,32759,44598,calstation
23,2186900,14473,33120,44322,calstation
24,2186950,14618,33360,44604,calstation
25,2217102,11400,22537,36422,calstation
26,2217200,11280,22702,36099,calstation
27,2218100,11640,21209,37065,calstation
28,2218200,11911,21240,37710,calstation
29,2218450,11335,21960,36093,calstation
30,2240100,11956,23159,37725,calstation
31,2240200,11879,22939,37407,calstation
32,2260100,13919,28956,42855,calstation
33,2260500,14879,29048,45137,calstation
34,2261500,15599,29147,46685,calstation
35,2335200,11999,23383,37727,calstation
36,2335950,14159,22383,43389,calstation
37,2337100,13122,23040,40964,calstation
38,2423500,12599,17712,39267,calstation
39,2423800,12492,18000,39270,calstation
40,2428200,12032,18119,37997,calstation
41,2428350,12360,18363,38955,calstation
42,2469050,15359,30536,46210,calstation
43,2469060,15239,30618,45964,calstation
44,2469072,15839,30578,47201,calstation
45,2469140,15839,30713,47202,calstation
46,2469260,16559,31409,48507,calstation
47,2548400,13319,25496,41298,calstation
48,2548500,13243,25560,41299,calstation
49,2549350,13439,26065,41622,calstation
50,2549500,13549,26160,41935,calstation
51,2550200,13559,26926,41941,calstation
52,2550450,13679,26820,42242,calstation
53,2569003,17399,31227,49817,calstation
54,2587100,9807,39960,31698,calstation
55,2588551,11542,39719,36866,calstation
56,2589500,11160,39323,35864,calstation
57,2595400,12359,16621,38619,calstation
58,2595600,11519,16400,36371,calstation
59,2595700,12239,16599,38297,calstation
60,2651100,14159,27511,43432,calstation
61,2677100,11154,36480,35520,calstation
62,2694510,11665,36839,37183,calstation
63,2706100,8764,32639,28494,calstation
64,2707100,8250,29999,26320,calstation
65,2707500,8314,30839,26764,calstation
66,2707600,8498,30839,27200,calstation
67,2707700,8413,31440,27206,calstation
68,2744200,8408,27599,27173,calstation
69,2836100,11973,23760,37731,calstation
70,2837100,12239,23955,38358,calstation
71,2839100,12555,24120,39321,calstation
72,2846800,14159,27113,43428,calstation
73,2851300,13884,27960,42847,calstation
74,2851500,13679,28259,42254,calstation
75,2853050,14639,23416,44521,calstation
76,2853150,14759,23541,44805,calstation
77,2853200,14888,23640,45376,calstation
78,2853300,15047,23520,45653,calstation
79,2853500,14640,25179,44818,calstation
80,2854020,14758,26759,44831,calstation
81,2854050,14490,26879,44269,calstation
82,2854100,15998,24239,47624,calstation
83,2854150,16247,24239,48060,calstation
84,2854180,16199,24529,47850,calstation
85,2854300,16181,25319,47856,calstation
86,2854400,16351,24719,48278,calstation
87,2854450,16446,24480,48484,calstation
88,2854500,16687,25199,48887,calstation
89,2854700,17168,24359,49620,calstation
90,2854800,17546,24959,50192,calstation
91,2855800,15239,26378,45938,calstation
92,2856200,15578,24359,46661,calstation
93,2856300,15596,24599,46663,calstation
94,2856320,15628,24719,46915,calstation
95,2856500,15650,25079,46918,calstation
96,2856530,15470,25079,46425,calstation
97,2856550,15359,25147,46176,calstation
98,2856600,15599,25267,46669,calstation
99,2856900,16079,25618,47636,calstation
100,2876500,10200,36537,33124,calstation
101,2893100,10799,36179,34526,calstation
102,2901200,4559,46475,11873,calstation
103,2901201,4447,47519,11881,calstation
104,2901300,5259,45960,15196,calstation
105,2902850,6651,44759,20636,calstation
106,2903050,6265,33480,19324,calstation
107,2903052,7364,32999,23215,calstation
108,2903054,6960,34036,21866,calstation
109,2903056,6720,33786,20996,calstation
110,2903070,5609,38520,16680,calstation
111,2903080,5760,38355,17645,calstation
112,2903081,5895,38520,18092,calstation
113,2903087,6281,37439,19356,calstation
114,2903120,6912,34080,21426,calstation
115,2903150,5220,38279,15132,calstation
116,2903151,5548,37679,16672,calstation
117,2903152,5847,36599,17630,calstation
118,2903215,6899,33479,21420,calstation
119,2903240,6616,33599,20577,calstation
120,2903300,6412,31920,19732,calstation
121,2903301,6934,31799,21406,calstation
122,2903330,6545,31319,20144,calstation
123,2903401,6481,36119,20184,calstation
124,2903402,6120,36518,18942,calstation
125,2903422,7200,31372,22743,calstation
126,2903424,6852,31319,21402,calstation
127,2903426,6188,32159,18905,calstation
128,2903427,5838,33119,17601,calstation
129,2903428,5640,34989,17148,calstation
130,2903429,5366,37079,15649,calstation
131,2903430,2779,36479,4758,calstation
132,2903470,5399,36334,15643,calstation
133,2903471,5279,35839,15112,calstation
134,2903475,5526,36720,16665,calstation
135,2903479,5680,35759,17154,calstation
136,2903480,5880,35128,18063,calstation
137,2903482,6840,34964,21433,calstation
138,2903490,5760,34580,17614,calstation
139,2903495,5519,34979,16145,calstation
140,2903497,5639,34667,16647,calstation
141,2903601,5331,38519,15661,calstation
142,2903602,5912,37919,18086,calstation
143,2903603,6073,36719,18522,calstation
144,2903605,6240,35689,19342,calstation
145,2903630,5816,34079,17609,calstation
146,2903647,5875,32879,17599,calstation
147,2903650,6360,33346,19743,calstation
148,2903654,6240,33073,19320,calstation
149,2903701,5162,34200,15099,calstation
150,2903702,4988,33359,14016,calstation
151,2903703,5031,32999,14013,calstation
152,2903704,4919,32267,13462,calstation
153,2903710,4746,34919,12926,calstation
154,2903721,4679,34003,12349,calstation
155,2903722,4319,33535,10582,calstation
156,2903728,4655,32999,12340,calstation
157,2903730,5039,33956,14021,calstation
158,2903740,5280,32350,15610,calstation
159,2906200,7612,34319,24146,calstation
160,2906201,7431,34919,23231,calstation
161,2906300,8159,37220,25954,calstation
162,2906500,7733,36960,24628,calstation
163,2906700,8534,38399,27693,calstation
164,2906800,9360,38051,30553,calstation
165,2906900,8040,38889,25968,calstation
166,2906901,7560,39686,24191,calstation
167,2907010,7319,32244,22750,calstation
168,2907020,7698,31920,24586,calstation
169,2907043,7942,32040,25476,calstation
170,2907060,7920,31602,25472,calstation
171,2907061,8056,32160,25912,calstation
172,2907080,8008,31439,25470,calstation
173,2907400,7668,31800,24126,calstation
174,2907403,8040,31472,25906,calstation
175,2908010,6388,29160,19709,calstation
176,2908011,6600,29618,20544,calstation
177,2908050,6240,28590,19283,calstation
178,2908099,6240,30645,19300,calstation
179,2908100,6205,28440,18875,calstation
180,2908101,6141,29520,18884,calstation
181,2908102,6600,30431,20551,calstation
182,2908105,7680,31112,24579,calstation
183,2908106,6758,32400,20985,calstation
184,2908180,7471,30719,23654,calstation
185,2908190,7080,30481,22286,calstation
186,2908200,7080,30129,22283,calstation
187,2908210,6720,30983,20973,calstation
188,2908303,6840,29861,21390,calstation
189,2908680,5963,29880,18020,calstation
190,2909150,3975,26760,9340,calstation
191,2909151,4560,27080,12291,calstation
192,2909152,5372,27600,15571,calstation
193,2909153,6180,28200,18873,calstation
194,2909154,6720,28286,20950,calstation
195,2909156,6917,28079,21375,calstation
196,2909158,7448,27959,23631,calstation
197,2909159,7680,28080,24554,calstation
198,2909161,7679,28678,24099,calstation
199,2909163,7560,29058,24103,calstation
200,2909164,7764,28800,24560,calstation
201,2909240,7681,28079,24553,calstation
202,2909260,7402,27959,23173,calstation
203,2909314,7239,28200,22717,calstation
204,2909321,7265,28680,22721,calstation
205,2909360,6625,28560,20536,calstation
206,2909391,6038,28320,18453,calstation
207,2909400,5196,28080,15048,calstation
208,2909401,5368,29040,15583,calstation
209,2909403,5889,30840,18028,calstation
210,2909520,4261,26160,10521,calstation
211,2909540,5143,26759,14493,calstation
212,2909560,5729,27359,17084,calstation
213,2909702,5411,31919,16119,calstation
214,2909704,4752,30000,12886,calstation
215,2909705,4440,27592,11715,calstation
216,2909720,4559,29681,11733,calstation
217,2910100,5668,23759,17054,calstation
218,2910110,4571,23759,12263,calstation
219,2910120,5399,22539,15528,calstation
220,2910130,5374,23039,15532,calstation
221,2910140,5653,23159,17049,calstation
222,2910150,5399,23309,15535,calstation
223,2910160,5399,23969,15540,calstation
