,stationid,row,col,arcid,origin
0,6139100,1107,284,31091,both
1,6139390,492,120,29516,calstation
2,6348400,719,1256,29921,calstation
3,6935054,220,1154,27871,both
4,6935302,298,1028,28287,both
5,6939050,564,592,29116,both
6,28704,359,393,28704,calstation
7,29115,479,342,29115,calstation
8,29517,599,299,29517,calstation
9,FR_0000893,6,429,27434,mmprocessedstation
10,FR_0001214,12,962,27439,mmprocessedstation
11,FR_0001215,23,877,27438,mmprocessedstation
12,6335125,26,1086,27440,mmprocessedstation
13,FR_0001103,27,940,27438,mmprocessedstation
14,FR_0001171,30,646,27436,mmprocessedstation
15,6136151,47,633,27436,mmprocessedstation
16,FR_0001150,48,764,27437,mmprocessedstation
17,6136160,51,829,27437,mmprocessedstation
18,6135210,55,910,27438,mmprocessedstation
19,DE_0000606,59,1288,27441,mmprocessedstation
20,FR_0001220,64,878,27438,mmprocessedstation
21,FR_0001206,71,911,27438,mmprocessedstation
22,FR_0001145,75,840,27438,mmprocessedstation
23,6136200,80,708,27436,mmprocessedstation
24,DE_0000271,86,1118,27440,mmprocessedstation
25,FR_0000259,89,605,27436,mmprocessedstation
26,FR_0000257,100,673,27436,mmprocessedstation
27,6136201,104,746,27437,mmprocessedstation
28,FR_0001136,107,765,27437,mmprocessedstation
29,FR_0001105,107,866,27438,mmprocessedstation
30,FR_0001199,112,923,27438,mmprocessedstation
31,FR_0001236,114,861,27438,mmprocessedstation
32,FR_0001221,127,935,27868,mmprocessedstation
33,DE_0000268,128,1080,27870,mmprocessedstation
34,FR_0001231,133,866,27868,mmprocessedstation
35,DE_0000266,135,1068,27869,mmprocessedstation
36,6342980,138,1242,27871,mmprocessedstation
37,6136202,141,764,27867,mmprocessedstation
38,FR_0001233,141,890,27868,mmprocessedstation
39,FR_0000936,143,276,27863,mmprocessedstation
40,FR_0001133,151,791,27867,mmprocessedstation
41,DE_0000272,155,1029,27869,mmprocessedstation
42,DE_0000280,160,1096,27870,mmprocessedstation
43,6139935,161,720,27867,mmprocessedstation
44,FR_0001187,164,814,27867,mmprocessedstation
45,FR_0001185,166,818,27867,mmprocessedstation
46,FR_0000188,167,760,27867,mmprocessedstation
47,FR_0001184,167,814,27867,mmprocessedstation
48,FR_0001189,173,853,27868,mmprocessedstation
49,FR_0001188,174,840,27868,mmprocessedstation
50,6139930,179,616,27866,mmprocessedstation
51,6122220,182,264,27863,mmprocessedstation
52,FR_0000028,182,799,27867,mmprocessedstation
53,FR_0000030,182,827,27867,mmprocessedstation
54,FR_0001349,184,775,27867,mmprocessedstation
55,FR_0000027,190,796,27867,mmprocessedstation
56,6139720,191,808,27867,mmprocessedstation
57,6935055,204,1224,27871,mmprocessedstation
