,stationid,row,col,arcid,origin
0,6139100,987,164,31091,both
1,6139390,480,120,29516,calstation
2,6935302,178,908,28287,both
3,6939050,444,472,29116,both
4,28704,240,360,28704,calstation
5,29115,360,240,29115,calstation
6,29517,480,240,29517,calstation
7,FR_0001221,7,815,27868,mmprocessedstation
8,FR_0001231,13,746,27868,mmprocessedstation
9,DE_0000266,15,948,27869,mmprocessedstation
10,6136202,21,644,27867,mmprocessedstation
11,FR_0001233,21,770,27868,mmprocessedstation
12,FR_0000936,23,156,27863,mmprocessedstation
13,FR_0001133,31,671,27867,mmprocessedstation
14,DE_0000272,35,909,27869,mmprocessedstation
15,6139935,41,600,27867,mmprocessedstation
16,FR_0001187,44,694,27867,mmprocessedstation
17,FR_0001185,46,698,27867,mmprocessedstation
18,FR_0000188,47,640,27867,mmprocessedstation
19,FR_0001184,47,694,27867,mmprocessedstation
20,FR_0001189,53,733,27868,mmprocessedstation
21,FR_0001188,54,720,27868,mmprocessedstation
22,6139930,59,496,27866,mmprocessedstation
23,6122220,62,144,27863,mmprocessedstation
24,FR_0000028,62,679,27867,mmprocessedstation
25,FR_0000030,62,707,27867,mmprocessedstation
26,FR_0001349,64,655,27867,mmprocessedstation
27,FR_0000027,70,676,27867,mmprocessedstation
28,6139720,71,688,27867,mmprocessedstation
29,FR_0000937,87,139,27863,mmprocessedstation
30,6139800,89,776,27868,mmprocessedstation
31,FR_0000004,91,711,27867,mmprocessedstation
32,FR_0000269,100,286,27864,mmprocessedstation
33,6935050,104,860,27869,mmprocessedstation
34,6935051,105,861,27869,mmprocessedstation
35,6335400,105,911,27869,mmprocessedstation
36,6935053,106,908,27869,mmprocessedstation
37,FR_0000281,119,660,27867,mmprocessedstation
38,6935070,122,895,28288,mmprocessedstation
39,6139681,139,523,28285,mmprocessedstation
40,FR_0000797,153,11,28281,mmprocessedstation
41,6139910,160,236,28282,mmprocessedstation
42,6139682,169,371,28284,mmprocessedstation
43,6935360,194,908,28288,mmprocessedstation
44,6935361,210,918,28288,mmprocessedstation
45,FR_0000182,217,161,28282,mmprocessedstation
46,6123720,239,46,28281,mmprocessedstation
47,CH_0000071,247,765,28707,mmprocessedstation
48,6935320,247,898,28708,mmprocessedstation
49,6935020,255,827,28707,mmprocessedstation
50,6139770,258,323,28703,mmprocessedstation
51,FR_0000045,266,432,28704,mmprocessedstation
52,6935350,266,804,28707,mmprocessedstation
53,6935390,279,705,28706,mmprocessedstation
54,FR_0000014,281,377,28704,mmprocessedstation
55,6939120,293,654,28706,mmprocessedstation
56,6139502,315,423,28704,mmprocessedstation
57,6939540,320,928,28708,mmprocessedstation
58,6935330,322,825,28707,mmprocessedstation
59,6139520,324,426,28704,mmprocessedstation
60,6939110,329,606,28706,mmprocessedstation
61,6939541,329,937,28708,mmprocessedstation
62,FR_0000234,331,470,28704,mmprocessedstation
63,6935380,348,902,28708,mmprocessedstation
64,6123710,351,8,28701,mmprocessedstation
65,FR_0000100,355,506,28705,mmprocessedstation
66,6935387,363,852,29120,mmprocessedstation
67,6123730,366,18,29113,mmprocessedstation
68,6939100,371,709,29118,mmprocessedstation
69,6935331,377,833,29119,mmprocessedstation
70,6139530,379,448,29116,mmprocessedstation
71,CH_0000099,379,916,29120,mmprocessedstation
72,6139940,383,155,29114,mmprocessedstation
73,6139501,384,399,29116,mmprocessedstation
74,6939200,396,693,29118,mmprocessedstation
75,FR_0000059,398,579,29117,mmprocessedstation
76,FR_0000058,400,571,29117,mmprocessedstation
77,6939205,403,713,29118,mmprocessedstation
78,CH_0000017,403,957,29120,mmprocessedstation
79,FR_0000178,410,129,29114,mmprocessedstation
80,FR_0000011,410,309,29115,mmprocessedstation
81,6139832,412,461,29116,mmprocessedstation
82,6139831,427,447,29116,mmprocessedstation
83,FR_0000023,434,274,29115,mmprocessedstation
84,6139640,440,309,29115,mmprocessedstation
85,FR_0000175,443,141,29114,mmprocessedstation
86,6139837,443,431,29116,mmprocessedstation
87,6139960,443,544,29117,mmprocessedstation
88,FR_0000115,446,496,29117,mmprocessedstation
89,FR_0000060,446,594,29117,mmprocessedstation
90,6939500,449,742,29119,mmprocessedstation
91,FR_0000025,451,286,29115,mmprocessedstation
92,FR_0000063,453,333,29115,mmprocessedstation
93,6139840,453,613,29118,mmprocessedstation
94,FR_0000118,463,588,29117,mmprocessedstation
95,FR_0000037,465,160,29114,mmprocessedstation
96,FR_0000039,478,245,29115,mmprocessedstation
97,FR_0000120,490,319,29517,mmprocessedstation
98,FR_0000117,494,581,29519,mmprocessedstation
99,6139850,503,460,29518,mmprocessedstation
100,6139360,507,148,29516,mmprocessedstation
101,6139810,509,405,29518,mmprocessedstation
102,6139391,513,335,29517,mmprocessedstation
103,6139361,514,164,29516,mmprocessedstation
104,FR_0000108,518,518,29519,mmprocessedstation
105,FR_0000050,522,393,29518,mmprocessedstation
106,FR_0000107,522,487,29519,mmprocessedstation
107,6139365,525,143,29516,mmprocessedstation
108,FR_0000109,530,535,29519,mmprocessedstation
109,FR_0000110,535,527,29519,mmprocessedstation
110,FR_0000130,543,172,29516,mmprocessedstation
111,6139825,546,504,29519,mmprocessedstation
112,6139310,548,277,29517,mmprocessedstation
113,FR_0000129,554,177,29516,mmprocessedstation
114,FR_0000751,569,125,29516,mmprocessedstation
115,FR_0000584,570,0,29515,mmprocessedstation
116,6123740,573,90,29515,mmprocessedstation
117,6348300,588,918,29522,mmprocessedstation
118,FR_0000752,602,31,29911,mmprocessedstation
119,FR_0000103,611,393,29914,mmprocessedstation
120,6139600,612,717,29916,mmprocessedstation
121,FR_0000035,626,416,29914,mmprocessedstation
122,6123750,644,60,29911,mmprocessedstation
123,6139370,646,189,29912,mmprocessedstation
124,6123770,668,51,29911,mmprocessedstation
125,FR_0000075,676,388,29914,mmprocessedstation
126,6123780,706,72,29911,mmprocessedstation
127,6139725,710,523,29915,mmprocessedstation
128,FR_0000074,718,347,29913,mmprocessedstation
129,6139440,723,596,30313,mmprocessedstation
130,6139735,732,448,30312,mmprocessedstation
131,6139283,739,641,30314,mmprocessedstation
132,FR_0000093,741,251,30311,mmprocessedstation
133,FR_0000126,760,123,30310,mmprocessedstation
134,6139740,762,515,30313,mmprocessedstation
135,FR_0000594,775,37,30309,mmprocessedstation
136,FR_0000088,787,366,30312,mmprocessedstation
137,FR_0000142,792,451,30312,mmprocessedstation
138,6139130,793,357,30311,mmprocessedstation
139,FR_0000143,793,465,30312,mmprocessedstation
140,6139281,827,596,30313,mmprocessedstation
141,FR_0000085,832,232,30310,mmprocessedstation
142,6348201,837,936,30316,mmprocessedstation
143,6139260,851,575,30705,mmprocessedstation
144,6139270,853,411,30704,mmprocessedstation
145,FR_0000070,855,311,30703,mmprocessedstation
